Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150
116,136812,139303,139810,140048,140264,140485,162349,165162,168426,171317,172720,161284,164053,166913,151016,164717,173269,185216,177285,175670,175546,176129,164735,167765,165381,162970,171527,180445,175290,159389,182041,169040,172067,172346,177050,166753,152672,186612,174335,166532,160081,172071,165259,180654,172436,170896,159479,164140,158148,171588,175414,163409,158243,163351,173052,166902,178778,178647,168452,185509,149139,155731,183560,170946,156155,168826,166869,161309,172373,168361,152527,174060,159854,160114,175428,178745,177564,174393,154018,155432,182945,156631,163517,167518,182210,167865,184973,168917,170842,172816,162775,165980,171064,173718,172491,170706,176669,160616,182145,165326,166670,170997,163511,168228,167086,164906,170427,161621,170113,173981,158022,174258,157521,175848,166732,177348,172412,164364,170737,180568,184346,164457,182505,156766,166496,159751,172416,174492,161090,159498,171644,170437,170595,170944,168066,177672,172082,178874,161515,178857,166652,162132,163117,163542,186932,177657,167701,179008,165247,163336
117,136812,139303,139810,140048,140264,140485,163372,153555,153833,163402,183466,148874,182431,172681,162973,173530,177592,190137,166432,174717,179716,178221,170030,166426,166856,160629,163726,165328,166993,178864,167642,176772,168591,170415,174323,182616,173271,165376,171786,169026,171260,181491,166649,172105,163096,167806,173215,176438,169005,168787,169669,156789,153443,162229,174220,170214,173563,178777,169515,176180,174040,170926,173550,162962,170486,170472,163036,181302,162591,186050,171960,159289,174440,164125,161887,155380,185567,171185,160374,162545,167776,163955,163895,174727,166320,167000,176774,170244,172119,168174,163536,159589,181479,174482,183510,167778,174272,162077,171020,161471,158313,171937,160582,169466,170748,162455,163673,164984,159392,165011,170927,156082,168844,174631,165330,166381,167236,166696,161537,157941,179030,182923,157870,173703,166287,165418,172729,170800,165378,166670,166437,171289,177266,159266,167071,171620,165447,157923,165605,149665,162632,155713,183207,159763,173485,173366,175960,183517,181567,160705
118,136812,139303,139810,140048,140264,140485,174291,167833,177375,155044,174388,172565,164388,179799,160461,171540,177986,164485,164240,174728,181858,176246,176537,167768,169603,173576,182538,171781,172368,194644,158611,161199,166524,171001,157283,166090,165897,169849,170576,160360,170356,175503,169489,176995,155562,178792,162461,155329,159181,161278,169055,165483,167100,171295,174174,167848,173299,169264,153256,169926,163702,175585,168085,177845,171188,173132,178611,162597,170149,164582,173345,175176,174333,157858,170477,164839,160966,160991,171212,165092,169095,162764,170924,169456,161733,179339,169499,181340,165715,158246,155495,176066,157459,172364,172158,171126,159475,164149,166922,148157,170435,180049,170070,172965,176016,162424,175068,180329,156488,185416,173479,161933,192576,179630,167128,169699,165491,177193,166019,167288,183388,162047,164900,155398,160401,173550,162064,171684,188995,152533,164563,170065,160330,157794,183899,163221,171637,152895,171877,168898,168335,168380,167034,165217,163482,171915,169586,168364,174458,161688
119,136812,139303,139810,140048,140264,140485,174559,168203,162871,177564,160121,163266,169514,159238,168270,192014,172762,172717,172676,168224,174400,162738,161265,169740,167031,176453,175039,180036,183222,171904,180217,166986,173447,165000,181770,175054,169804,169065,162214,167913,171618,166682,170585,177453,184222,185522,168788,170182,176450,176951,163032,177270,168055,165226,168207,172189,179341,164130,157935,166003,168130,169341,175330,177464,182349,168130,176923,185460,164493,170894,168641,176758,169594,146128,155702,186023,167452,174534,159257,167598,174543,158112,160177,168257,165357,176503,161335,171694,172351,178004,149610,167320,174117,172639,156857,168099,168078,173757,168421,161185,155339,154138,179670,169953,174787,178077,165385,163405,167991,166008,164288,168622,177249,175755,182665,177354,174780,169212,174481,151300,174386,170926,178888,167968,175530,159363,165490,169540,165554,163386,161749,171028,159217,160106,171890,157749,153820,163496,162148,170747,152431,159445,164402,190906,165914,178567,169636,150518,188576,186575
120,136812,139303,139810,140048,140264,140485,174333,161491,170287,170888,181555,162913,183798,172793,144358,150298,158536,171718,176613,176118,173640,158183,163840,174941,175333,140487,185169,176697,177175,176672,155037,177211,163411,170518,162201,172755,159219,150148,164898,175450,177166,179938,167897,161541,177855,164825,169924,172444,158019,173834,183133,186231,173804,174548,167949,156410,165078,173028,161029,175668,163090,173452,163674,167999,157361,156868,181748,169889,165530,178170,176170,151286,166372,171277,157012,169850,177637,168254,162657,178521,172612,156841,174081,176976,178855,165703,160825,174909,177286,166298,155787,165771,171476,154201,181943,167881,179050,168795,155138,151844,165169,176596,177345,175030,168107,181411,166384,162904,169492,168655,160598,172468,169236,177469,166763,177803,153193,164029,165577,174357,164551,178612,148394,163975,163006,158206,160701,184869,182378,169281,166137,170392,178689,153998,165670,174049,157780,178473,162677,164177,164452,164191,172920,179342,167201,169802,185533,180808,153127,168393
121,136812,139303,139810,140048,140264,140485,165743,180811,187848,170829,170221,160884,170209,172608,157740,167646,168101,172888,155855,168653,177609,167592,160498,163738,172806,186695,171244,154953,180264,170312,186721,170000,175524,152494,180458,173260,165128,167201,169938,171690,178014,179918,180868,172646,177812,183976,153741,173522,170261,166033,162928,158685,177631,172420,164405,157207,187780,180346,165112,167254,177414,175347,159670,171638,172894,164307,182046,181990,184164,178650,166130,172113,165089,175110,176184,155574,168765,161267,171644,157349,175097,191078,182934,159738,182427,166690,156324,171397,163114,168147,162946,176738,180330,170911,165595,160198,171124,170604,181664,169407,157100,171402,170674,164299,171823,162797,175674,168228,169120,161618,171079,169932,158086,165735,168683,181297,176774,178962,167453,166602,172637,164252,178861,173568,170007,172085,173177,166424,171460,163915,188585,180056,169607,167723,146553,177472,169018,161991,162744,183857,173359,166456,159611,183764,171565,157120,179798,168175,161097,165916
122,136812,139303,139810,140048,140264,140485,188418,183559,159900,165362,167668,162194,177167,158961,159829,176895,178873,175523,175603,174799,162423,170589,168564,163650,167257,163704,179548,181192,164398,194043,168492,183863,180682,158189,157626,172008,168988,173488,168675,170216,152231,161711,167774,166718,179192,171777,165593,172830,165717,185298,171247,164986,166379,179027,167379,158767,160146,179053,174884,167382,158811,173914,181536,165474,160059,170387,155908,166734,166679,160877,160827,162430,182685,178584,173287,170756,161215,181676,170720,167180,178365,186762,177761,169075,183796,172701,167794,174632,170069,164147,175510,179446,166713,174085,157028,163547,168157,171977,175063,158249,168001,173697,160722,161844,166679,170329,172577,169444,154529,177548,174099,165180,171107,163381,177854,160047,151898,172658,177438,166571,166571,166654,169146,165894,166250,167533,155247,173741,163306,169567,174855,163121,168890,179154,162652,176831,161632,172863,169358,171073,169759,169673,161250,162528,183549,168628,172584,165861,163860,171369
123,136812,139303,139810,140048,140264,140485,164544,159417,171441,186578,175761,174131,180744,159141,173943,168246,173786,173786,157641,169802,185410,151323,172526,173457,170663,174077,165821,185638,171176,160105,167974,175453,169820,169589,181314,156741,167478,170720,157756,155623,179835,172906,170361,166985,174206,168214,169443,180601,174471,172421,161333,168018,166176,166257,180335,188962,162487,171312,190516,178848,163903,173069,178855,158748,171607,183812,169942,175424,168297,167658,176452,163651,159289,179247,173213,166660,180284,181085,173364,185048,164831,166265,174269,163287,163956,159933,171121,150837,181299,183308,154588,178999,176057,161922,172755,169498,179054,163760,175035,176825,172977,164641,173973,173281,156234,158990,174936,177662,177962,158128,165929,163514,174823,153517,176799,182795,161018,156050,175410,167593,159530,159423,174775,180967,178015,166661,178934,180365,170348,167454,175587,177655,164740,168469,179244,178115,154867,177269,174322,170565,154228,161994,173991,162527,170314,158820,168248,175537,178906,168346
124,136812,139303,139810,140048,140264,140485,170035,181290,176771,163020,184218,170985,180911,164395,184574,174505,170910,157151,174519,177774,190344,167649,177168,172400,179663,167171,174388,160223,174730,169787,166806,169963,174213,174871,182547,170902,161607,164625,161142,160329,183467,157995,168663,176078,167929,149749,175679,175090,157657,167611,173532,167392,170935,175317,168087,172418,167678,166392,173520,158789,162757,183203,172680,178152,160988,177736,161371,164249,162155,167833,173619,166091,173289,170128,172145,182466,170184,174515,155789,163029,158311,172060,149669,179438,175800,169715,165632,169982,180274,178601,167013,159352,171422,183533,177110,166571,183487,159425,170930,158068,175053,155297,177911,158780,167690,173736,174597,167678,160363,172870,150650,160225,152698,153605,168684,161255,168720,177645,171000,175653,189371,175059,164500,171595,162085,178550,177061,178427,180309,161731,173911,158298,171126,166056,182022,170360,146867,166144,160016,158255,178752,177377,177691,155571,167172,165371,154955,188223,198712,182736
125,136812,139303,139810,140048,140264,140485,166519,176066,177435,173437,173447,174281,166975,162871,170175,168876,160844,172322,173596,168068,170175,164700,177513,166670,156218,164237,157529,174451,164912,168579,170058,161624,175707,166701,165570,173562,176754,162263,166143,170802,165785,169727,152386,166843,177847,174913,176985,156318,164562,172529,165912,172284,169527,170105,162765,158687,162374,162101,176616,164494,162536,165971,168409,147654,175692,172897,169912,183208,181776,166196,164376,173749,161270,183519,163773,158500,161589,152675,185092,176000,161327,153706,171141,169256,177316,168769,164413,193890,154731,165891,164830,170215,169124,167873,180734,177488,176882,149645,171657,163839,174727,181661,148657,167112,163790,170297,182083,169651,174113,170747,190431,172042,169918,170982,167825,164954,161610,171256,160146,177136,171249,171079,155117,157814,167643,171674,186139,170151,168807,172246,170540,158700,168386,151199,152453,170477,173398,168552,165479,156558,185559,170719,164830,169525,157676,177829,171286,174013,163264,175105
126,136812,139303,139810,140048,140264,140485,175522,171889,188098,168803,163800,165080,158532,169760,166579,175431,174097,164715,171012,173404,171498,165803,166291,169323,159966,173730,175973,157714,171085,162547,193850,187115,152269,164492,171781,171817,145691,170183,176372,175980,149286,174055,167978,168477,159207,180399,176792,164639,162253,171783,163618,176585,163753,172760,160859,172193,165176,185343,164251,161957,169984,165031,162770,180579,181534,173563,165643,179266,176799,167099,171284,157060,173019,181984,167045,159236,166849,156261,175093,176041,171066,170228,176372,169578,160954,164325,163496,165402,169794,180930,172954,168958,167832,167504,153728,178896,170901,178859,167349,153525,172407,156512,170133,164391,173627,172639,169746,159396,172941,168488,165107,167162,166692,163948,186805,176525,168264,168439,167535,159834,176267,169167,168121,170313,172762,161661,174824,171292,168549,172314,163435,170615,173314,183700,168387,157512,173152,182960,163653,179139,160124,151884,156399,169908,166057,175618,165064,160415,178127,174129
127,136812,139303,139810,140048,140264,140485,160350,169849,164885,161089,163663,163804,161378,158532,168900,180034,166361,171378,157076,149399,171622,154342,168853,169754,169313,174591,186843,173451,160273,168760,160135,173577,171077,167553,160274,178654,173312,166921,175791,164638,151730,162336,154564,173249,162095,183322,167555,171798,182396,166722,172572,164398,150099,175106,161601,174308,167419,160081,164779,163711,169450,154434,143202,160938,163622,164878,174538,171431,160144,175621,174311,161636,178071,167428,170437,163013,171137,150785,171651,165306,173890,162180,167024,175369,173766,164846,174235,170540,174702,178601,167691,164636,171983,179462,166011,182650,195130,166947,178101,174462,176179,164321,170776,171846,171662,175158,172718,185779,160189,175355,167963,173095,154983,184459,172264,173472,165002,172407,167501,167811,189948,180251,170911,157931,155837,176113,169494,175005,172280,162856,175492,183230,158103,171743,169525,160067,158804,166833,173864,157619,163582,160562,169809,169071,166851,169661,182937,180513,154757,176377
128,136812,139303,139810,140048,140264,140485,167142,161392,164317,164210,157170,168725,177461,176068,169291,172842,179217,174054,156947,186082,169679,169551,176780,162053,170147,166542,150842,176871,179641,164113,169350,155195,161952,167232,167983,159280,174044,162173,172323,171214,166310,166103,181221,193261,173235,178828,176190,162154,166659,170291,174856,172533,175704,183865,163738,169300,166651,168143,185639,166226,173433,174435,161407,161239,173044,168817,169671,173243,164345,169444,162246,171691,170200,175775,184249,177546,166986,172359,163162,155601,167386,163826,173177,159844,168580,170253,165529,172637,180784,161026,134815,165060,173216,162708,182434,162819,159945,186202,168407,161120,148924,155829,180133,179177,163017,160314,166228,159756,184737,172465,165728,159355,159237,161735,161628,158044,168772,168995,166228,159170,166900,171827,161444,169058,194000,175045,183545,173971,174407,165034,185304,176009,176567,160843,159175,181501,171108,170231,180034,164163,161786,172957,174239,161832,161977,174827,169318,174341,158522,164253
129,134815,136812,139303,139810,140048,140264,135768,164287,174926,163097,167788,166103,178284,157906,160043,148409,161631,165615,171145,155410,156575,155872,170668,161895,167540,176304,159688,158476,164994,178108,168380,160016,162453,156283,159665,173977,168221,166022,165611,171739,177462,168517,175583,154420,165999,185393,174355,178592,172978,180769,168178,172450,161194,179583,171226,184588,165554,167880,154895,161130,163501,158843,173706,164262,172096,180131,176478,174637,169491,162316,165609,173028,160530,159755,172957,159706,176626,173288,194131,163298,172401,155756,169214,158569,177453,159745,176394,171989,163598,173375,163518,164622,190352,162654,157747,171894,165243,175235,178628,168163,168987,168268,163466,183366,174710,171320,167394,159844,166673,160421,165275,153556,177554,161498,178709,152856,178386,175787,161456,169819,150533,172913,163010,166136,169577,175410,177503,168085,175024,175029,174911,174423,178360,164931,160763,167425,175413,162218,173803,182666,170194,173176,172327,155673,164481,179607,165787,173684,160348,168656
130,134815,135768,136812,139303,139810,140048,172061,168481,170575,172933,164358,165572,166200,158991,175494,154934,175809,165731,158695,163066,160803,169083,174078,176272,156098,162795,165512,162742,182579,153226,172401,172336,173802,165542,175253,169913,182839,180769,162501,178235,153164,151951,180281,160492,171007,156005,161405,163290,175280,170534,159655,164901,184449,180359,166537,176807,169826,178443,179501,162899,169126,170363,175552,174335,178526,161190,153763,166370,164967,162393,168002,168455,180312,158810,156504,167173,152772,161215,174088,148319,179075,170551,170620,174464,156620,161694,167444,159770,166013,153857,175361,163160,173425,162112,170627,170682,163881,159925,161827,166051,175019,166476,167914,160394,157397,168848,176104,167633,164403,153074,185202,167334,181621,168142,171889,164361,157381,175097,176225,165024,157308,178792,139588,161943,157894,166133,165090,168176,165106,163441,154605,175429,168115,159854,173588,147002,175700,162213,175904,168826,178300,160969,160763,152572,168941,165235,181846,171410,160506,170233
131,134815,135768,136812,139303,139588,139810,166062,171838,160772,174895,166170,158552,168641,177175,159054,158976,160763,158482,170602,163605,165127,166139,171457,162072,162019,168609,171117,173476,150445,166449,170222,175047,175934,175050,173352,176256,158798,176943,177140,174688,161443,166223,183699,166604,156858,162097,152255,169440,177396,164523,163292,183412,181324,163196,169531,168180,174571,160914,172085,161403,160906,161738,174250,177043,178007,172957,173040,165227,171350,181214,153120,181956,164689,167397,149158,164780,148755,166602,157523,161853,160786,156532,165844,164748,172017,170458,167487,173983,165240,178887,172478,176273,158565,152576,157942,167906,165003,183853,168000,155905,174746,163924,167829,182232,150679,157536,170913,174913,169644,176331,170572,161158,154605,161522,158358,173506,176433,149231,175162,176491,169105,175568,173208,155150,171264,174178,176661,177661,170589,158697,174189,183666,165085,157905,155083,176535,180966,160419,158332,142077,170659,164979,150326,168529,166522,168677,165619,159622,181712,161738
132,134815,135768,136812,139303,139588,139810,168909,171897,166743,178431,162318,165474,160015,159210,162118,173508,169198,150768,152501,161385,164080,168967,174710,168578,170555,155798,164735,171318,170404,171534,166094,149348,159286,178764,152252,169336,164100,175704,165858,167134,162148,159553,176165,166790,178526,165816,173091,167941,152507,169528,170602,154078,167572,171312,174901,159456,169001,178107,162412,175496,162136,159122,167589,155083,176121,162375,166769,181806,167536,171378,164337,170682,164049,158780,177189,165312,175761,167321,164090,177646,168134,159697,160436,181000,164643,162922,172286,157313,170015,178964,162485,173953,167866,164879,179066,175632,163457,160542,173252,166555,176936,163559,160711,168636,161116,164083,167227,146646,162966,176654,169214,179780,156280,175228,180278,162600,166546,163694,172268,168428,169695,162004,165203,163537,156885,171356,161261,178632,172302,137911,171339,181724,141030,150524,164017,156871,147762,157864,168000,169987,164037,164398,171376,191647,157246,159311,150723,172070,167299,163270
133,134815,135768,136812,137911,139303,139588,175305,174980,158786,164962,161480,161363,178806,178248,149075,159150,161520,162862,158192,166211,157146,168017,166476,166895,169379,166098,161612,158758,168561,172861,169893,168420,162167,169106,169586,158008,163818,170487,186864,168104,181038,175350,159397,156678,176853,165024,154565,163668,148776,153127,165734,179795,144106,173040,171847,164903,146781,185221,173327,177167,166377,165575,175687,173526,153401,170102,164301,168134,149880,165599,168924,176675,170314,164672,165928,165838,158792,159679,163222,165779,153989,146176,159951,159978,156619,158403,159330,161335,138901,162524,159459,178970,156247,160464,156848,165847,153419,152810,161609,167312,175697,153196,175796,152833,174693,168803,166652,170355,165764,164179,167012,160363,168133,171021,166487,174996,176360,172285,163676,171204,160253,166638,169736,155734,164234,161660,175952,168385,161235,179518,171190,152722,173017,174679,189965,171534,164150,176627,170133,166133,161716,165482,162596,156562,150712,155747,166496,169828,157805,177851
134,134815,135768,136812,137911,138901,139303,168998,174133,172654,179592,171551,170201,170333,168706,172482,170946,162096,162419,156656,167483,172913,152292,176531,153200,149143,172080,160633,169219,156035,188909,170857,162148,163818,144533,180038,169236,178288,172709,169654,178590,172525,171915,171198,167174,162523,163098,159348,158066,165779,160834,159699,153415,169285,172405,159173,161299,154447,160736,185888,151058,163012,167064,156484,174894,137448,181546,148783,156854,171655,178115,169429,182449,173277,155876,160091,157727,161469,162675,176976,163365,174501,160800,168103,169161,175389,169496,162650,175251,153333,159854,160788,162623,172907,162119,168080,165751,170432,180698,171092,157779,177363,161954,174205,174301,160450,162993,163159,152939,166274,190326,168929,170574,181446,151455,163821,169765,169518,168872,172736,168655,167787,166771,163386,174193,165235,160445,176188,162348,164733,168296,163808,168177,173191,167082,173413,159385,163658,174377,170512,162079,173376,157515,173445,171305,156917,170424,166364,168044,165747,178710
135,134815,135768,136812,137448,137911,138901,158593,170570,157233,175572,165061,159953,165335,165245,188885,171089,172920,166868,144034,180694,153797,166351,159273,177448,170940,166647,172901,170629,163012,163906,159322,173484,158577,161489,173915,179261,159134,165479,157154,159405,165952,173801,142589,175570,164035,165364,152266,168382,187160,183346,176249,168044,153646,156059,175035,171708,175885,177324,163169,162833,172080,161982,161554,162197,166292,166330,174847,180164,172498,173789,169765,160445,169925,173162,157490,166866,163971,168783,163882,165521,173516,164142,166278,182331,158207,177357,166707,159495,163453,162583,157027,178958,179877,162583,169024,179683,176015,156271,159199,178012,169231,170419,170136,167316,173124,165768,166954,167213,163913,147194,171718,165804,170950,169398,168478,172844,177454,152673,179295,162729,158673,156917,157133,170211,156629,159447,189596,167483,159602,161934,169378,176090,170018,170302,170857,170857,160420,153941,168177,175389,163266,156443,175192,168714,169850,184001,176126,174927,165213,172289
136,134815,135768,136812,137448,137911,138901,157210,152336,152459,163144,164813,175595,172347,172012,186685,166498,166011,162398,159131,172491,182080,154559,176417,169026,168382,177700,176394,163127,181268,178087,159715,166737,170136,162996,169382,173210,164877,167649,156363,163312,179069,157814,167451,166737,175039,171147,171856,167208,165596,161535,154469,164912,162843,154195,170950,175926,170070,159735,173874,159716,171828,170086,170724,182593,166366,151202,165609,177584,174590,181705,161522,168715,175922,182122,175988,171820,176128,170208,163228,181416,177262,166982,169359,171159,168697,154871,170880,168502,173796,176740,165273,176148,167437,168733,171404,161597,164372,158410,149199,177123,149047,167302,172718,173093,162418,170477,155824,153189,162157,159549,163170,156034,174937,174209,157714,183303,154549,162714,171326,172125,161226,168414,167824,157426,173555,175422,177198,171874,176204,174875,176820,170128,169124,168554,171129,163970,167996,139474,169437,165889,164237,158282,169076,170857,156615,143248,169884,174862,153856,161946
137,134815,135768,136812,137448,137911,138901,171415,171513,165596,176756,177566,178041,166877,176877,164597,152777,173650,176360,168483,169663,169773,162776,157910,160685,178171,176759,156022,178671,173359,185509,173429,163179,174904,167305,173252,151337,168432,175238,169658,162546,172273,167382,165636,163284,158590,169949,169405,182019,172082,172565,166596,168986,165006,178353,162986,162418,157197,179431,160668,168634,165786,165260,164739,177096,150066,150845,180221,168827,181308,173138,184465,169579,156413,169803,166786,163215,170089,174929,186091,171628,158620,196663,162358,168312,166706,167820,162063,176196,159979,169024,175479,182625,173862,176817,156868,157426,157623,160326,146380,155542,173784,173827,153737,159423,170223,174409,176502,169133,179522,184785,170284,171996,152138,177422,167125,170354,159060,151450,169746,165596,176036,164338,164972,181104,173570,172005,147038,167633,172096,164309,166123,166780,167782,177132,163022,150223,169763,160451,162714,169633,163528,164067,182309,150999,172729,161613,178152,171031,168356,163637
138,134815,135768,136812,137448,137911,138901,160499,169175,171337,155308,157565,158622,147647,174155,178066,171825,174759,175699,170130,174181,176124,159317,182616,165679,181325,175546,169208,171164,158610,162698,158657,172591,169633,172357,181963,156828,173728,182188,173992,159393,175367,167732,160899,175312,161970,190735,177331,152535,178540,173635,153291,151948,177223,179256,157075,182302,165376,168865,175132,156823,154165,167348,171460,158972,146903,152347,165614,154078,173757,176140,151272,136734,163882,167570,164604,171735,173878,168972,164223,166702,171590,145094,175924,170485,157037,177442,164957,152552,157197,176406,162663,194805,163884,179392,161400,162620,168990,167208,159764,153147,182889,146489,164774,171672,165596,174974,162735,163249,170756,180887,160230,178650,176341,171491,164703,167613,157635,162557,160064,193037,161458,171023,168920,175885,183563,171688,167886,190809,155844,169373,153981,174320,170886,178435,167422,169531,174092,168538,169663,175567,153271,169328,138996,151641,159358,159743,164324,179314,171973,159322
139,134815,135768,136734,136812,137448,137911,168956,159289,154475,190524,169719,163014,167893,170262,164119,179136,169413,163828,165138,150919,148176,165728,173661,164001,160504,177960,176835,168806,175259,149118,172022,167561,171058,172295,162018,158759,147282,167874,172407,181700,179785,169340,166264,186621,171009,167605,168874,168130,172340,167871,176260,187642,155838,173741,172845,160623,157716,173360,159337,164244,177308,166863,180404,165268,179704,183554,154906,159115,161815,181296,164597,178756,180173,163842,162955,174654,175209,169083,174868,178629,177512,183599,182763,176203,170531,158676,160021,178550,161214,163694,178834,164836,163390,168630,153180,165077,167408,163909,191221,166181,179645,173071,173698,169634,184734,186747,167978,172315,184738,171592,175033,166230,167119,152809,157868,160432,171057,191911,171089,172362,174363,158413,182766,155079,154471,162161,169440,157607,167263,160179,174542,173259,173674,155947,164758,170792,158890,160921,173857,172410,166523,166978,176697,176852,161214,158457,154719,157841,171057,169090
140,134815,135768,136734,136812,137448,137911,169699,175591,163103,174423,164131,161504,165402,174363,170101,169562,166724,159936,161051,178703,182438,165114,165301,162806,164162,155419,175635,176133,174112,165229,176425,161048,165124,175207,160268,173586,157377,173808,166281,179537,171293,163010,173266,187597,164467,164964,172977,163559,169675,176462,183877,173068,165284,178524,161839,163719,166694,168966,175994,169458,166489,172855,168070,162192,189013,174947,164027,180967,170240,173979,176687,167205,165402,157344,178528,176701,180230,168129,173688,164482,175767,168437,161284,166670,159760,153560,169162,166413,157455,170989,169503,174823,156408,179931,165213,170179,167069,167332,159921,166119,172907,162263,155773,155611,174253,168103,149717,175738,183025,160920,175442,168560,178666,186922,166635,170580,162464,171997,159874,149758,160938,168514,171868,161697,174051,157664,167996,172793,167293,176382,166075,155029,184364,184812,155481,163053,169868,163297,163659,178575,158611,179281,174114,165139,163085,167902,178279,157129,174850,164275
141,134815,135768,136734,136812,137448,137911,161405,162831,166457,185831,185464,157941,163058,172396,189575,180848,173191,173537,177330,167311,171266,185154,172149,161041,162477,180168,171871,178751,175956,166814,179658,179999,181915,167707,164222,156896,162797,166381,169071,169527,170807,163295,168038,169334,170231,166332,158044,166957,163655,161685,161150,165532,172378,160970,152420,160690,169517,178197,158105,168379,160765,171028,168820,169655,166473,177162,167089,161297,167746,171939,156481,174304,163825,167477,172288,168286,160903,162223,181929,166333,185183,175159,162116,167999,169252,171150,183751,161894,187517,165833,182197,175652,178683,172303,172392,172034,169059,170947,175793,177743,150197,161354,166134,163141,153584,168178,170414,168140,161246,170198,169443,171895,169314,166410,179916,165212,168642,165642,160479,176339,176475,179689,179282,151802,174593,167059,179504,168961,165590,193652,164897,164773,157980,163529,162362,174580,167895,174916,167540,161999,176834,151604,167507,163660,162944,160393,160253,171753,168624,166718
142,134815,135768,136734,136812,137448,137911,174004,175513,170593,160034,170716,180771,187273,170083,178079,169720,166619,161324,175671,166849,170891,171269,168465,194655,171564,168106,182202,167935,164277,163663,168404,181361,184435,159368,165862,185958,164506,149475,170326,160336,160576,166296,158157,174985,170373,165094,173590,174209,166272,160568,165189,166100,164097,180022,160221,173557,165317,165571,184864,178029,153232,177002,163453,161690,171740,176336,159124,173003,177189,176993,182907,172121,148211,175057,174691,168889,184575,180022,161704,177853,157835,173526,185914,175714,172005,168470,168976,164300,159841,161430,165520,158581,169697,180845,159435,162994,170216,178303,169207,166239,181766,159286,162570,165700,175335,156979,187267,157939,162619,162007,178304,175866,163423,174026,159169,173084,168500,171465,182661,169238,158153,157677,164895,176772,174594,173375,164083,183942,193515,163147,152567,158774,178191,169336,187757,164097,169008,162483,156094,175262,177784,168756,184029,175306,162965,176811,163954,171460,164029,168684
143,134815,135768,136734,136812,137448,137911,169558,172922,159456,159594,166605,178084,170235,174497,166480,166396,171715,156796,167175,174064,158567,161301,174048,161741,161703,172488,181615,174148,180105,157592,157212,166168,172185,181008,174191,178999,168682,162671,162587,169173,177847,178004,173920,175973,172502,170079,170118,172247,169813,154307,174697,166468,173965,178754,166916,182970,173066,168610,177052,182583,172745,168279,157227,167193,185522,173137,157092,176058,180964,170296,168090,158682,176397,171181,182569,174121,164752,181607,165420,178998,174006,164501,175215,166033,178678,167152,169259,176135,165402,175532,171701,155026,168360,166682,163247,170158,159798,171718,171560,164423,167226,181417,167572,164536,166030,171115,175525,158203,172820,164032,155247,165277,181251,180479,170262,167385,168367,174636,166986,165498,164966,168222,176149,171030,168745,166629,160799,177075,180122,188434,164163,178369,165590,172685,163211,163822,189363,169274,156110,142735,166328,158930,181494,160442,173659,171297,176162,168821,178347,164660
