Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150
106,136812,139810,140048,140264,140485,140599,162667,173408,166190,180399,186863,176929,172562,172445,178325,182558,171513,170339,181648,165062,176983,157714,168164,163430,175023,161430,180818,168513,175807,168173,193000,167642,172049,183112,160325,175609,174573,161182,156529,167356,150397,169524,179435,167269,172408,165015,171950,153165,166991,166074,151673,152031,176017,167377,173845,158869,166089,166694,180937,173205,179019,176476,164087,173312,173656,163161,164930,174784,174680,180348,169210,165280,177617,154758,172736,169982,179451,147380,164678,174616,159138,171658,171663,168094,158708,172194,153883,176095,183844,174044,176111,166252,165878,178222,167258,164127,167871,154707,152637,172639,175796,170926,179278,151277,181469,146290,169671,170968,159277,176279,181896,171731,158482,180053,174326,175273,170318,177237,171060,170539,190019,178434,163038,167828,176929,174435,161086,176922,157595,168624,168851,180995,155460,152459,172444,160412,176251,166122,171218,163233,148523,183741,165612,166887,176878,161834,168791,156434,179748,160727
107,136812,139810,140048,140264,140485,140599,162909,172930,168092,173098,158034,173527,152159,183006,170123,159085,177224,171203,162201,181551,170241,169630,167292,174227,169370,166569,189631,181361,178775,167436,183804,172789,161361,171403,175641,167392,169292,172887,169148,167839,176992,154724,168683,166551,164308,157977,161973,171073,164829,169308,184567,158242,165383,168040,158833,162189,175536,178802,152683,165331,182059,172358,193164,157383,158943,160298,174529,175129,176357,176505,169845,187557,169541,165670,185379,165752,174011,172380,176066,170678,179506,171817,180371,167518,158922,160283,166473,167630,164404,170876,160025,159147,170875,169134,173379,162957,167714,170839,170972,158943,166232,175724,164338,166567,164602,160320,166881,160555,181672,169736,165631,179631,155518,175236,172138,157669,165334,174275,172236,178659,155828,173326,163763,172937,163417,170198,185797,167052,165594,168502,169779,173822,162117,161903,173847,170809,172363,162707,166309,178571,179453,162719,173754,174007,166679,170060,173648,174775,171952,168874
108,136812,139810,140048,140264,140485,140599,152654,167028,157890,159806,172353,172551,182512,157981,157123,151114,175640,172160,167055,156262,169444,167586,172379,164265,155211,171821,174227,156125,171435,174103,153249,158496,173782,169567,172827,171486,169646,167415,179086,184099,162858,163487,151524,162144,178158,167324,170228,177486,167955,165717,175244,173176,165984,167314,167832,170782,161587,163510,187125,177413,171621,163846,169410,157452,160349,166975,174238,171365,172842,175627,153515,168232,157292,168983,159262,182475,167947,167044,173806,174171,169974,169808,161998,179963,180103,163257,164910,174775,172035,175706,163468,166584,175017,163983,147648,175495,179681,177756,175842,176020,175140,166091,164932,181469,170424,172682,168068,158337,150143,172726,164456,172122,169940,169895,167467,161088,153766,169321,179316,171023,166734,184260,164236,179307,156207,158680,158732,171998,164007,173738,181663,162172,167727,176317,166142,161683,166561,171421,180195,177611,174065,183605,164601,175999,167531,170042,159661,162709,177396,157523
109,136812,139810,140048,140264,140485,140599,160167,169103,167283,182273,165392,163963,166666,174803,171832,172760,182721,173994,171684,163790,178043,168121,170722,161346,179530,162883,156563,155627,162879,178813,182438,166160,178589,174008,165253,174843,163248,174416,166928,163266,174033,165729,169355,171081,180712,166217,175195,162151,162340,165653,178967,161921,164449,172788,170386,166354,164821,162783,171555,162214,184916,170027,167319,167239,169233,166575,174553,171040,180561,173738,168725,167108,175809,178588,171410,168371,166951,169843,166442,166744,159116,164784,158269,169836,164748,189020,178117,182480,171489,174257,151797,160920,172787,163244,165179,157879,161872,183986,166783,163575,175216,159505,168572,159059,162542,177117,153702,167400,168618,179435,163386,167221,179923,161659,175115,169095,152948,163602,167348,170447,164854,154299,182815,166991,151402,161792,176040,166198,161700,178577,174875,158804,166696,174439,173549,175154,168632,170059,166053,173695,165197,163974,182166,151916,169003,178806,171141,172074,172965,174527
110,136812,139810,140048,140264,140485,140599,169920,160851,173429,174986,164884,164405,158121,173683,158105,166691,184717,163589,182109,177570,181257,177743,156987,165629,160478,162711,170541,149571,175003,166781,172533,162060,160530,161617,164802,175401,183407,162744,157550,169244,182380,160552,170422,176693,177464,180329,168427,162178,179564,168259,172298,170910,168454,172998,182644,161023,159322,168830,171795,165122,173781,165707,165249,168437,166805,169050,165561,166334,179212,165603,169317,167664,163704,167298,174174,160316,173238,167874,176782,178072,171561,172200,159100,175362,184046,160000,171052,164574,166371,171964,162556,175409,183964,173499,166832,176869,170422,169857,176781,169777,159466,184136,174302,175818,167884,161329,158323,180932,157664,164668,175873,176525,181145,154566,165061,165673,160588,157556,167664,189916,162569,160323,195835,173516,178774,164040,167355,172900,174605,163007,177598,167949,182687,175877,154210,172874,174290,163669,160633,170972,163900,163856,180397,158072,172105,161746,180100,161275,182681,158183
111,136812,139810,140048,140264,140485,140599,172681,181267,188892,180610,168266,162266,162685,179082,168323,174156,177607,168260,180691,171838,177654,171225,154152,177163,156636,171907,174380,167451,181669,170424,172181,166125,173175,157878,163837,164409,159924,173539,162724,165267,160288,167366,181834,165771,168910,171618,165900,169401,176749,181365,157718,184123,181738,166939,171776,163012,167224,168931,169160,181351,181944,170870,166210,146957,165692,159651,174190,162500,177588,190404,155115,169526,167005,165774,168000,161336,170560,169581,175066,177037,157455,181382,179882,160692,159747,160020,168164,176025,171162,181919,187560,163754,178413,155648,177710,184423,162182,166329,182957,173362,156995,171249,167512,168201,160250,179260,162051,167467,162083,175642,159677,178063,165863,166049,182056,169781,161976,167476,177967,171595,179122,169659,168561,175588,173781,167701,159314,170624,152178,172242,175887,175366,169566,157563,177022,167126,175071,179256,177028,153423,161551,161229,171904,172348,179663,165681,163715,162603,177713,167795
112,136812,139810,140048,140264,140485,140599,176676,172921,159074,163404,171617,155265,176799,167778,163369,174666,146962,139303,156423,173321,172157,165118,180493,156508,142636,161340,175819,156854,156226,171993,176500,175199,159291,174363,165333,169275,185201,152629,156867,173193,160727,165291,183647,171179,187266,175891,168852,179884,160198,166510,168748,187456,181937,167972,166449,162454,169540,176431,162230,188415,169100,168410,171966,171922,165884,169037,172878,164718,183801,160234,166252,173232,178304,166816,171166,187603,167597,165776,176451,178921,158559,177074,161907,169347,154242,167272,173034,170532,168186,161900,161883,172643,164957,171334,166043,179131,174937,172851,173055,172786,161738,156607,167154,169142,160452,180651,183777,174785,175529,154028,175226,173286,157456,166982,166453,156642,185769,157727,166019,141032,169417,162838,170396,181934,165030,174262,160583,162664,156158,170099,177266,175480,168404,185099,166665,172952,160213,179303,151295,156514,174997,192061,154816,166738,178308,174086,166045,166599,165213,167583
113,136812,139303,139810,140048,140264,140485,173152,168758,161274,171242,182464,179719,176568,170954,162816,156151,167739,163649,162410,162565,165005,158981,172241,170463,161418,176558,172589,163795,181135,172381,164679,181801,167626,174917,170179,148046,161894,169381,167319,169287,154334,166209,168512,170204,157254,169699,168650,163922,173439,174987,174517,174585,169163,167573,167587,177122,173034,157510,160043,169335,181690,158492,167127,149605,160711,179665,168174,175056,167159,161463,154084,169171,171821,158976,179135,169427,161963,166692,170453,169240,171879,171140,162939,181967,159958,153340,157636,164906,174513,171372,154851,158020,173623,181802,159927,182272,160677,155885,182979,165510,169065,161753,165419,168608,175409,163777,174428,167763,169176,148241,177866,166905,165332,183425,183028,171565,181040,173436,155784,160964,171114,167294,162027,163564,162789,164662,180589,156791,163977,175239,163051,165867,172312,175535,158660,164718,167127,170033,169331,169702,150852,174037,159315,156415,160867,168817,150600,174990,165697,167559
114,136812,139303,139810,140048,140264,140485,172185,178843,153856,172112,169849,161641,161543,167004,178575,172749,170758,172394,178005,161790,164958,161647,174314,165394,171417,173719,160377,160220,168893,175455,149214,169819,163850,150856,169178,182037,163257,169833,180605,161007,166418,176795,167983,165735,159203,181472,169258,173206,164987,170272,160982,169925,163948,159194,184376,162668,149457,177389,168496,173302,185706,164873,171800,180137,169685,161199,165360,166342,176379,174926,163279,166536,168774,174323,175739,158374,162233,156375,168762,173471,170675,149602,167074,166102,163625,177229,178848,157737,160026,170372,163621,169402,164301,173334,181365,170788,163475,157684,152026,176381,166788,171595,185572,169186,162817,155496,176907,167789,166651,176174,164568,172070,174330,172812,171418,166353,156567,161669,168620,165901,166064,160540,164160,156147,167480,175036,174244,166568,173703,168300,183701,172308,158232,168536,175415,183977,162516,161734,162550,159020,158400,147816,159398,182972,166107,166167,171114,159927,167172,165727
115,136812,139303,139810,140048,140264,140485,187689,168363,167113,169915,153618,165870,181910,154279,180042,179231,176461,168560,179493,176248,168661,177180,172789,171873,162102,176189,176390,169342,184677,168211,176103,165215,172868,184498,164762,176315,164187,179963,170652,173534,161300,188949,173467,169293,172925,190367,168446,153709,163498,156646,170075,168768,162253,182238,184133,169411,170164,169889,188222,174240,174352,180486,173842,162390,170990,169916,160029,177997,153365,163992,175239,175078,164411,166056,177698,170077,161385,152559,152714,178223,168519,183266,163523,169308,167707,160988,176281,167165,168974,160413,183390,185440,165039,180015,168473,177133,179042,171439,187369,162418,155808,169699,167273,161812,167047,175174,160064,163741,166204,163084,169813,168432,165982,176558,178214,161087,167012,161910,160729,178299,185737,170240,175976,161457,162697,171271,158054,164252,171649,166727,160838,155909,181304,162389,177659,178631,175850,162918,181964,173615,163944,165831,162548,170886,180766,172820,165769,163299,162504,179667
