Geracoes,Tamanho da Populacao,Numero de clones,d,Beta,Rho,Melhor Aptidao,Aptidao Media
100,200,200,2,5.00,1.00,146720.00,146720.00
100,200,200,2,5.00,2.50,150180.00,150180.00
100,200,200,2,5.00,5.00,149844.00,149844.00
100,200,200,2,10.00,0.50,65445.00,70740.49
100,200,200,2,10.00,1.00,44559.00,44685.96
100,200,200,2,10.00,2.50,146613.00,146613.00
100,200,200,2,10.00,5.00,147080.00,147080.00
100,200,200,5,1.00,0.50,149062.00,149062.00
100,200,200,5,1.00,1.00,148827.00,148827.00
100,200,200,5,1.00,2.50,143269.00,143269.00
100,200,200,5,1.00,5.00,147110.00,147110.00
100,200,200,5,2.00,0.50,152115.00,152115.00
100,200,200,5,2.00,1.00,143729.00,143729.00
100,200,200,5,2.00,2.50,151942.00,151942.00
100,200,200,5,2.00,5.00,147203.00,147203.00
100,200,200,5,5.00,0.50,50949.00,51687.90
100,200,200,5,5.00,1.00,147593.00,147593.00
100,200,200,5,5.00,2.50,147208.00,147208.00
100,200,200,5,5.00,5.00,148069.00,148069.00
100,200,200,5,10.00,0.50,66759.00,71795.20
100,200,200,5,10.00,1.00,45332.00,45495.57
100,200,200,5,10.00,2.50,149304.00,149304.00
100,200,200,5,10.00,5.00,147738.00,147738.00
100,200,200,10,1.00,0.50,150470.00,150470.00
100,200,200,10,1.00,1.00,154147.00,154147.00
100,200,200,10,1.00,2.50,149949.00,149949.00
100,200,200,10,1.00,5.00,148416.00,148416.00
100,200,200,10,2.00,0.50,147554.00,147554.00
100,200,200,10,2.00,1.00,147858.00,147858.00
100,200,200,10,2.00,2.50,143298.00,143298.00
100,200,200,10,2.00,5.00,150760.00,150760.00
100,200,200,10,5.00,0.50,57881.00,59172.69
100,200,200,10,5.00,1.00,150045.00,150045.00
100,200,200,10,5.00,2.50,149829.00,149829.00
100,200,200,10,5.00,5.00,148576.00,148576.00
100,200,200,10,10.00,0.50,65299.00,71366.46
100,200,200,10,10.00,1.00,47018.00,47018.00
100,200,200,10,10.00,2.50,149234.00,149234.00
100,200,200,10,10.00,5.00,149656.00,149656.00
